Site,Volume,Page(s),Type,Area,Cult age,Age max [ka],Age dated min [ka],Age [ka BP],Longitude,Latitude
P031576,Qinghai,21-22,general map,complete province,Kayue,3.6,2.7,3.15,100.509,37.965
P031577,Qinghai,21-22,general map,complete province,Kayue,3.6,2.7,3.15,100.557,37.965
P031578,Qinghai,21-22,general map,complete province,Kayue,3.6,2.7,3.15,100.659,37.97
P031579,Qinghai,21-22,general map,complete province,Kayue,3.6,2.7,3.15,100.7,37.966
P031580,Qinghai,21-22,general map,complete province,Kayue,3.6,2.7,3.15,101.463,37.058
P031581,Qinghai,21-22,general map,complete province,Kayue,3.6,2.7,3.15,101.772,37.072
P031582,Qinghai,21-22,general map,complete province,Kayue,3.6,2.7,3.15,101.554,37.083
P031583,Qinghai,21-22,general map,complete province,Kayue,3.6,2.7,3.15,101.479,37.104
P031584,Qinghai,21-22,general map,complete province,Kayue,3.6,2.7,3.15,101.346,37.11
P031585,Qinghai,21-22,general map,complete province,Kayue,3.6,2.7,3.15,101.282,37.207
P031586,Qinghai,21-22,general map,complete province,Kayue,3.6,2.7,3.15,101.33,37.29
P031587,Qinghai,21-22,general map,complete province,Kayue,3.6,2.7,3.15,101.317,37.199
P031588,Qinghai,21-22,general map,complete province,Kayue,3.6,2.7,3.15,101.369,37.207
P031589,Qinghai,21-22,general map,complete province,Kayue,3.6,2.7,3.15,101.365,37.143
P031590,Qinghai,21-22,general map,complete province,Kayue,3.6,2.7,3.15,101.388,37.16
P031591,Qinghai,21-22,general map,complete province,Kayue,3.6,2.7,3.15,101.39,37.266
P031592,Qinghai,21-22,general map,complete province,Kayue,3.6,2.7,3.15,101.432,37.238
P031593,Qinghai,21-22,general map,complete province,Kayue,3.6,2.7,3.15,101.465,37.226
P031594,Qinghai,21-22,general map,complete province,Kayue,3.6,2.7,3.15,101.521,37.193
P031595,Qinghai,21-22,general map,complete province,Kayue,3.6,2.7,3.15,101.419,37.189
P031596,Qinghai,21-22,general map,complete province,Kayue,3.6,2.7,3.15,101.456,37.178
P031597,Qinghai,21-22,general map,complete province,Kayue,3.6,2.7,3.15,101.429,37.16
P031598,Qinghai,21-22,general map,complete province,Kayue,3.6,2.7,3.15,101.693,37.347
P031599,Qinghai,21-22,general map,complete province,Kayue,3.6,2.7,3.15,101.693,37.286
P031600,Qinghai,21-22,general map,complete province,Kayue,3.6,2.7,3.15,101.583,37.18
P031601,Qinghai,21-22,general map,complete province,Kayue,3.6,2.7,3.15,101.606,37.164
P031602,Qinghai,21-22,general map,complete province,Kayue,3.6,2.7,3.15,101.585,37.147
P031603,Qinghai,21-22,general map,complete province,Kayue,3.6,2.7,3.15,100.074,38.198
P031604,Qinghai,21-22,general map,complete province,Kayue,3.6,2.7,3.15,100.047,38.219
P031605,Qinghai,21-22,general map,complete province,Kayue,3.6,2.7,3.15,100.026,38.198
P031606,Qinghai,21-22,general map,complete province,Kayue,3.6,2.7,3.15,100.087,35.266
P031607,Qinghai,21-22,general map,complete province,Kayue,3.6,2.7,3.15,100.238,35.244
P031608,Qinghai,21-22,general map,complete province,Kayue,3.6,2.7,3.15,100.123,35.241
P031609,Qinghai,21-22,general map,complete province,Kayue,3.6,2.7,3.15,100.332,35.229
P031610,Qinghai,21-22,general map,complete province,Kayue,3.6,2.7,3.15,100.652,35.248
P031611,Qinghai,21-22,general map,complete province,Nuomuhong,3.6,2.7,3.15,98.365,36.499
P031612,Qinghai,21-22,general map,complete province,Nuomuhong,3.6,2.7,3.15,98.292,36.489
P031613,Qinghai,21-22,general map,complete province,Nuomuhong,3.6,2.7,3.15,98.219,36.482
P031614,Qinghai,21-22,general map,complete province,Nuomuhong,3.6,2.7,3.15,98.39,36.424
P031615,Qinghai,21-22,general map,complete province,Nuomuhong,3.6,2.7,3.15,98.052,36.395
P031616,Qinghai,21-22,general map,complete province,Nuomuhong,3.6,2.7,3.15,98.227,36.405
P031617,Qinghai,21-22,general map,complete province,Nuomuhong,3.6,2.7,3.15,98.146,36.261
P031618,Qinghai,21-22,general map,complete province,Nuomuhong,3.6,2.7,3.15,98.415,36.263
P031619,Qinghai,21-22,general map,complete province,Nuomuhong,3.6,2.7,3.15,98.367,36.219
P031620,Qinghai,21-22,general map,complete province,Nuomuhong,3.6,2.7,3.15,97.766,36.106
P031621,Qinghai,21-22,general map,complete province,Nuomuhong,3.6,2.7,3.15,97.628,36.043
P031622,Qinghai,21-22,general map,complete province,Nuomuhong,3.6,2.7,3.15,97.406,36.135
P031623,Qinghai,21-22,general map,complete province,Nuomuhong,3.6,2.7,3.15,97.82,36.041
P031624,Qinghai,21-22,general map,complete province,Nuomuhong,3.6,2.7,3.15,97.837,35.995
P031625,Qinghai,21-22,general map,complete province,Nuomuhong,3.6,2.7,3.15,97.782,35.983
P031626,Qinghai,21-22,general map,complete province,Nuomuhong,3.6,2.7,3.15,97.797,35.937
P031627,Qinghai,21-22,general map,complete province,Nuomuhong,3.6,2.7,3.15,97.837,35.885
P031628,Qinghai,21-22,general map,complete province,Nuomuhong,3.6,2.7,3.15,97.772,35.866
P031629,Qinghai,21-22,general map,complete province,Nuomuhong,3.6,2.7,3.15,97.081,36.248
P031630,Qinghai,21-22,general map,complete province,Nuomuhong,3.6,2.7,3.15,96.437,36.522
P031631,Qinghai,21-22,general map,complete province,Nuomuhong,3.6,2.7,3.15,94.798,36.367
P031632,Qinghai,21-22,general map,complete province,Nuomuhong,3.6,2.7,3.15,91.996,37.353
P031633,Qinghai,21-22,general map,complete province,Nuomuhong,3.6,2.7,3.15,93.041,36.916
P031634,Qinghai,21-22,general map,complete province,Nuomuhong,3.6,2.7,3.15,97.332,37.524
P031635,Qinghai,21-22,general map,complete province,Nuomuhong,3.6,2.7,3.15,97.297,37.441
P031636,Qinghai,21-22,general map,complete province,Nuomuhong,3.6,2.7,3.15,97.303,37.386
P031637,Qinghai,21-22,general map,complete province,Nuomuhong,3.6,2.7,3.15,97.378,37.48
P031638,Qinghai,21-22,general map,complete province,Nuomuhong,3.6,2.7,3.15,97.485,37.487
P031639,Qinghai,21-22,general map,complete province,Nuomuhong,3.6,2.7,3.15,97.901,36.822
P031640,Qinghai,21-22,general map,complete province,Nuomuhong,3.6,2.7,3.15,98.5,36.774
P031641,Qinghai,21-22,general map,complete province,Nuomuhong,3.6,2.7,3.15,98.489,37.01
P031642,Qinghai,21-22,general map,complete province,Nuomuhong,3.6,2.7,3.15,98.552,37.037
P031643,Qinghai,21-22,general map,complete province,Nuomuhong,3.6,2.7,3.15,98.589,36.968
P031644,Qinghai,21-22,general map,complete province,Nuomuhong,3.6,2.7,3.15,98.673,36.972
P031645,Qinghai,21-22,general map,complete province,Nuomuhong,3.6,2.7,3.15,98.502,36.837
P031646,Qinghai,21-22,general map,complete province,Nuomuhong,3.6,2.7,3.15,98.564,36.839
P031647,Qinghai,21-22,general map,complete province,Nuomuhong,3.6,2.7,3.15,98.696,37.365
P031648,Qinghai,21-22,general map,complete province,Nuomuhong,3.6,2.7,3.15,98.916,37.294
P031649,Qinghai,21-22,general map,complete province,Nuomuhong,3.6,2.7,3.15,98.995,37.336
P004820,Gansu,68-69,general map,complete province,Yangshao,8.2,7.4,7.8,105.444,34.252
P004821,Gansu,68-69,general map,complete province,Yangshao,8.2,7.4,7.8,105.9,35.015
P004822,Gansu,68-69,general map,complete province,Yangshao,8.2,7.4,7.8,106.149,33.93
P004823,Gansu,68-69,general map,complete province,Yangshao,8.2,7.4,7.8,106.175,33.88
P004824,Gansu,68-69,general map,complete province,Yangshao,6.5,4.7,5.6,104.802,35.965
P004825,Gansu,68-69,general map,complete province,Yangshao,6.5,4.7,5.6,105.367,35.148
P004826,Gansu,68-69,general map,complete province,Yangshao,6.5,4.7,5.6,105.601,35.262
P004827,Gansu,68-69,general map,complete province,Yangshao,6.5,4.7,5.6,105.751,35.375
P004828,Gansu,68-69,general map,complete province,Yangshao,6.5,4.7,5.6,105.644,35.083
P004829,Gansu,68-69,general map,complete province,Yangshao,6.5,4.7,5.6,105.785,35.066
P004830,Gansu,68-69,general map,complete province,Yangshao,6.5,4.7,5.6,105.848,35.034
P004831,Gansu,68-69,general map,complete province,Yangshao,6.5,4.7,5.6,105.93,35.041
P004832,Gansu,68-69,general map,complete province,Yangshao,6.5,4.7,5.6,105.86,35.158
P004833,Gansu,68-69,general map,complete province,Yangshao,6.5,4.7,5.6,105.808,35.165
P004834,Gansu,68-69,general map,complete province,Yangshao,6.5,4.7,5.6,105.796,35.177
P004835,Gansu,68-69,general map,complete province,Yangshao,6.5,4.7,5.6,105.889,35.38
P004836,Gansu,68-69,general map,complete province,Yangshao,6.5,4.7,5.6,106.012,35.395
P004837,Gansu,68-69,general map,complete province,Yangshao,6.5,4.7,5.6,106.026,35.344
P004838,Gansu,68-69,general map,complete province,Yangshao,6.5,4.7,5.6,106.091,35.29
P004839,Gansu,68-69,general map,complete province,Yangshao,6.5,4.7,5.6,106.094,35.197
P004840,Gansu,68-69,general map,complete province,Yangshao,6.5,4.7,5.6,106.119,35.153
P004841,Gansu,68-69,general map,complete province,Yangshao,6.5,4.7,5.6,106.086,35.248
P004842,Gansu,68-69,general map,complete province,Yangshao,6.5,4.7,5.6,105.95,35.187
P004843,Gansu,68-69,general map,complete province,Yangshao,6.5,4.7,5.6,105.67,35.143
P004844,Gansu,68-69,general map,complete province,Yangshao,6.5,4.7,5.6,106.138,35.023
P004845,Gansu,68-69,general map,complete province,Yangshao,6.5,4.7,5.6,106.05,35.43
P004846,Gansu,68-69,general map,complete province,Yangshao,6.5,4.7,5.6,106.181,34.982
P004847,Gansu,68-69,general map,complete province,Yangshao,6.5,4.7,5.6,106.172,34.959
P004848,Gansu,68-69,general map,complete province,Yangshao,6.5,4.7,5.6,106.113,34.962
P004849,Gansu,68-69,general map,complete province,Yangshao,6.5,4.7,5.6,106.058,35.031
P004850,Gansu,68-69,general map,complete province,Yangshao,6.5,4.7,5.6,106.022,35.011
P004851,Gansu,68-69,general map,complete province,Yangshao,6.5,4.7,5.6,106.04,35.009
P004852,Gansu,68-69,general map,complete province,Yangshao,6.5,4.7,5.6,106.173,34.849
P004853,Gansu,68-69,general map,complete province,Yangshao,6.5,4.7,5.6,106.071,34.766
P004854,Gansu,68-69,general map,complete province,Yangshao,6.5,4.7,5.6,106.121,34.747
P004855,Gansu,68-69,general map,complete province,Yangshao,6.5,4.7,5.6,106.21,34.723
P004856,Gansu,68-69,general map,complete province,Yangshao,6.5,4.7,5.6,106.184,34.722
P004857,Gansu,68-69,general map,complete province,Yangshao,6.5,4.7,5.6,105.578,34.945
P004858,Gansu,68-69,general map,complete province,Yangshao,6.5,4.7,5.6,105.628,34.871
P004859,Gansu,68-69,general map,complete province,Yangshao,6.5,4.7,5.6,105.643,34.827
P004860,Gansu,68-69,general map,complete province,Yangshao,6.5,4.7,5.6,105.322,34.733
P004861,Gansu,68-69,general map,complete province,Yangshao,6.5,4.7,5.6,105.377,34.764
P004862,Gansu,68-69,general map,complete province,Yangshao,6.5,4.7,5.6,105.458,34.72
P004863,Gansu,68-69,general map,complete province,Yangshao,6.5,4.7,5.6,105.373,34.63
P004864,Gansu,68-69,general map,complete province,Yangshao,6.5,4.7,5.6,105.428,34.606
P004865,Gansu,68-69,general map,complete province,Yangshao,6.5,4.7,5.6,105.081,34.794
P004866,Gansu,68-69,general map,complete province,Yangshao,6.5,4.7,5.6,105.017,34.832
P004867,Gansu,68-69,general map,complete province,Yangshao,6.5,4.7,5.6,104.728,34.795
P004868,Gansu,68-69,general map,complete province,Yangshao,6.5,4.7,5.6,106.644,35.537
P004869,Gansu,68-69,general map,complete province,Yangshao,6.5,4.7,5.6,106.877,35.719
P004870,Gansu,68-69,general map,complete province,Yangshao,6.5,4.7,5.6,106.809,35.51
P004871,Gansu,68-69,general map,complete province,Yangshao,6.5,4.7,5.6,106.676,35.465
P004872,Gansu,68-69,general map,complete province,Yangshao,6.5,4.7,5.6,106.922,35.419
P004873,Gansu,68-69,general map,complete province,Yangshao,6.5,4.7,5.6,107.043,35.439
P004874,Gansu,68-69,general map,complete province,Yangshao,6.5,4.7,5.6,106.808,35.268
P004875,Gansu,68-69,general map,complete province,Yangshao,6.5,4.7,5.6,106.872,35.282
P004876,Gansu,68-69,general map,complete province,Yangshao,6.5,4.7,5.6,107.135,35.166
P004877,Gansu,68-69,general map,complete province,Yangshao,6.5,4.7,5.6,107.196,35.03
P004878,Gansu,68-69,general map,complete province,Yangshao,6.5,4.7,5.6,107.057,35.306
P004879,Gansu,68-69,general map,complete province,Yangshao,6.5,4.7,5.6,107.115,35.651
P004880,Gansu,68-69,general map,complete province,Yangshao,6.5,4.7,5.6,107.02,35.683
P004881,Gansu,68-69,general map,complete province,Yangshao,6.5,4.7,5.6,107.34,35.686
P004882,Gansu,68-69,general map,complete province,Yangshao,6.5,4.7,5.6,107.405,35.721
P004883,Gansu,68-69,general map,complete province,Yangshao,6.5,4.7,5.6,107.509,35.678
P004884,Gansu,68-69,general map,complete province,Yangshao,6.5,4.7,5.6,107.479,35.613
P004885,Gansu,68-69,general map,complete province,Yangshao,6.5,4.7,5.6,107.422,35.482
P004886,Gansu,68-69,general map,complete province,Yangshao,6.5,4.7,5.6,107.505,35.475
P004887,Gansu,68-69,general map,complete province,Yangshao,6.5,4.7,5.6,107.622,35.546
P004888,Gansu,68-69,general map,complete province,Yangshao,6.5,4.7,5.6,107.609,35.488
P004889,Gansu,68-69,general map,complete province,Yangshao,6.5,4.7,5.6,107.888,35.348
P004890,Gansu,68-69,general map,complete province,Yangshao,6.5,4.7,5.6,107.463,35.405
P004891,Gansu,68-69,general map,complete province,Yangshao,6.5,4.7,5.6,107.609,35.387
P004892,Gansu,68-69,general map,complete province,Yangshao,6.5,4.7,5.6,107.484,35.343
P004893,Gansu,68-69,general map,complete province,Yangshao,6.5,4.7,5.6,107.32,35.386
P004894,Gansu,68-69,general map,complete province,Yangshao,6.5,4.7,5.6,107.227,35.386
P004895,Gansu,68-69,general map,complete province,Yangshao,6.5,4.7,5.6,107.234,35.318
P004896,Gansu,68-69,general map,complete province,Yangshao,6.5,4.7,5.6,107.133,35.331
P004897,Gansu,68-69,general map,complete province,Yangshao,6.5,4.7,5.6,107.152,35.314
P004898,Gansu,68-69,general map,complete province,Yangshao,6.5,4.7,5.6,107.667,35.191
P004899,Gansu,68-69,general map,complete province,Yangshao,6.5,4.7,5.6,108.165,35.689
P004900,Gansu,68-69,general map,complete province,Yangshao,6.5,4.7,5.6,108.423,35.8
P004901,Gansu,68-69,general map,complete province,Yangshao,6.5,4.7,5.6,108.481,35.38
P004902,Gansu,68-69,general map,complete province,Yangshao,6.5,4.7,5.6,108.343,35.403
P004903,Gansu,68-69,general map,complete province,Yangshao,6.5,4.7,5.6,108.365,35.339
P004904,Gansu,68-69,general map,complete province,Yangshao,6.5,4.7,5.6,108.066,35.308
P004905,Gansu,68-69,general map,complete province,Yangshao,6.5,4.7,5.6,107.956,35.266
P004906,Gansu,68-69,general map,complete province,Yangshao,6.5,4.7,5.6,108.01,35.271
P004907,Gansu,68-69,general map,complete province,Yangshao,6.5,4.7,5.6,108.07,35.283
P004908,Gansu,68-69,general map,complete province,Yangshao,6.5,4.7,5.6,107.928,35.633
P004909,Gansu,68-69,general map,complete province,Yangshao,6.5,4.7,5.6,107.908,35.849
P004910,Gansu,68-69,general map,complete province,Yangshao,6.5,4.7,5.6,107.543,36.02
P004911,Gansu,68-69,general map,complete province,Yangshao,6.5,4.7,5.6,108.107,35.839
P004912,Gansu,68-69,general map,complete province,Yangshao,6.5,4.7,5.6,108.062,35.79
P004913,Gansu,68-69,general map,complete province,Yangshao,6.5,4.7,5.6,108.327,35.867
P004914,Gansu,68-69,general map,complete province,Yangshao,6.5,4.7,5.6,107.24,36.631
P004915,Gansu,68-69,general map,complete province,Yangshao,6.5,4.7,5.6,107.287,36.325
P004916,Gansu,68-69,general map,complete province,Yangshao,6.5,4.7,5.6,107.529,36.358
P004917,Gansu,68-69,general map,complete province,Yangshao,6.5,4.7,5.6,107.788,36.332
P004918,Gansu,68-69,general map,complete province,Yangshao,6.5,4.7,5.6,107.849,36.441
P004919,Gansu,68-69,general map,complete province,Yangshao,6.5,4.7,5.6,107.681,36.594
P004920,Gansu,68-69,general map,complete province,Yangshao,6.5,4.7,5.6,107.722,36.591
P004921,Gansu,68-69,general map,complete province,Yangshao,6.5,4.7,5.6,108.44,36.183
P004922,Gansu,68-69,general map,complete province,Yangshao,6.5,4.7,5.6,108.303,36.065
P004923,Gansu,68-69,general map,complete province,Yangshao,6.5,4.7,5.6,107.68,35.095
P004924,Gansu,68-69,general map,complete province,Yangshao,6.5,4.7,5.6,107.656,35.214
P004925,Gansu,68-69,general map,complete province,Yangshao,6.5,4.7,5.6,107.092,35.509
P004926,Gansu,68-69,general map,complete province,Yangshao,6.5,4.7,5.6,106.04,35.176
P004927,Gansu,68-69,general map,complete province,Yangshao,6.5,4.7,5.6,105.83,35.211
P004928,Gansu,68-69,general map,complete province,Yangshao,6.5,4.7,5.6,106.136,34.524
P004929,Gansu,68-69,general map,complete province,Yangshao,6.5,4.7,5.6,105.979,34.563
P004930,Gansu,68-69,general map,complete province,Yangshao,6.5,4.7,5.6,105.811,34.564
P004931,Gansu,68-69,general map,complete province,Yangshao,6.5,4.7,5.6,105.781,34.61
P004932,Gansu,68-69,general map,complete province,Yangshao,6.5,4.7,5.6,105.64,34.576
P004933,Gansu,68-69,general map,complete province,Yangshao,6.5,4.7,5.6,105.414,34.404
P004934,Gansu,68-69,general map,complete province,Yangshao,6.5,4.7,5.6,105.14,34.165
P004935,Gansu,68-69,general map,complete province,Yangshao,6.5,4.7,5.6,105.31,34.207
P004936,Gansu,68-69,general map,complete province,Yangshao,6.5,4.7,5.6,105.369,34.222
P004937,Gansu,68-69,general map,complete province,Yangshao,6.5,4.7,5.6,105.487,34.274
P004938,Gansu,68-69,general map,complete province,Yangshao,6.5,4.7,5.6,103.791,34.786
P004939,Gansu,68-69,general map,complete province,Yangshao,6.5,4.7,5.6,104.796,33.524
P004940,Gansu,68-69,general map,complete province,Yangshao,6.5,4.7,5.6,105.064,33.81
P004941,Gansu,68-69,general map,complete province,Yangshao,6.5,4.7,5.6,105.058,33.94
P004942,Gansu,68-69,general map,complete province,Yangshao,6.5,4.7,5.6,105.681,33.718
P004943,Gansu,68-69,general map,complete province,Yangshao,6.5,4.7,5.6,105.507,33.593
P004944,Gansu,68-69,general map,complete province,Yangshao,6.5,4.7,5.6,104.971,33.336
P004945,Gansu,68-69,general map,complete province,Yangshao,6.5,4.7,5.6,104.997,33.12
P004946,Gansu,68-69,general map,complete province,Yangshao,6.5,4.7,5.6,104.807,32.862
P004947,Gansu,68-69,general map,complete province,Yangshao,6.5,4.7,5.6,107.595,35.694
P004948,Gansu,68-69,general map,complete province,Yangshao,6.5,4.7,5.6,107.378,36.843
P004949,Gansu,68-69,general map,complete province,Yangshao,6.5,4.7,5.6,107.4,36.839
P004950,Gansu,68-69,general map,complete province,Yangshao,6.5,4.7,5.6,107.639,36.777
P004951,Gansu,68-69,general map,complete province,Yangshao,6.5,4.7,5.6,107.72,36.727
P004952,Gansu,68-69,general map,complete province,Yangshao,6.5,4.7,5.6,108.143,36.543
P004953,Gansu,68-69,general map,complete province,Yangshao,6.5,4.7,5.6,107.781,36.657
P004954,Gansu,68-69,general map,complete province,Yangshao,6.5,4.7,5.6,107.816,36.618
P004955,Gansu,68-69,general map,complete province,Yangshao,6.5,4.7,5.6,107.879,36.649
P004956,Gansu,68-69,general map,complete province,Yangshao,6.5,4.7,5.6,107.873,36.594
P004957,Gansu,68-69,general map,complete province,Yangshao,6.5,4.7,5.6,107.27,36.574
P004958,Gansu,68-69,general map,complete province,Yangshao,6.5,4.7,5.6,107.328,36.62
P004959,Gansu,68-69,general map,complete province,Yangshao,6.5,4.7,5.6,107.39,36.606
P004960,Gansu,68-69,general map,complete province,Yangshao,6.5,4.7,5.6,107.463,36.585
P004961,Gansu,68-69,general map,complete province,Yangshao,6.5,4.7,5.6,107.528,36.536
P004962,Gansu,68-69,general map,complete province,Yangshao,6.5,4.7,5.6,106.572,36.314
P004963,Gansu,68-69,general map,complete province,Yangshao,6.5,4.7,5.6,106.647,36.313
P004964,Gansu,68-69,general map,complete province,Yangshao,6.5,4.7,5.6,106.784,36.279
P004965,Gansu,68-69,general map,complete province,Yangshao,6.5,4.7,5.6,106.931,36.36
P004966,Gansu,68-69,general map,complete province,Yangshao,6.5,4.7,5.6,107.008,36.393
P004967,Gansu,68-69,general map,complete province,Yangshao,6.5,4.7,5.6,107.065,36.313
P004968,Gansu,68-69,general map,complete province,Yangshao,6.5,4.7,5.6,107.193,36.31
P004969,Gansu,68-69,general map,complete province,Yangshao,6.5,4.7,5.6,107.338,36.287
P004970,Gansu,68-69,general map,complete province,Yangshao,6.5,4.7,5.6,107.436,36.259
P004971,Gansu,68-69,general map,complete province,Yangshao,6.5,4.7,5.6,107.023,36.047
P004972,Gansu,68-69,general map,complete province,Yangshao,6.5,4.7,5.6,107.07,36.04
P004973,Gansu,68-69,general map,complete province,Yangshao,6.5,4.7,5.6,107.145,36.024
P004974,Gansu,68-69,general map,complete province,Yangshao,6.5,4.7,5.6,107.516,36.066
P004975,Gansu,68-69,general map,complete province,Yangshao,6.5,4.7,5.6,107.643,36.059
P004976,Gansu,68-69,general map,complete province,Yangshao,6.5,4.7,5.6,107.685,36.063
P004977,Gansu,68-69,general map,complete province,Yangshao,6.5,4.7,5.6,107.649,36.215
P004978,Gansu,68-69,general map,complete province,Yangshao,6.5,4.7,5.6,107.788,36.1
P004979,Gansu,68-69,general map,complete province,Yangshao,6.5,4.7,5.6,107.785,36.075
P004980,Gansu,68-69,general map,complete province,Yangshao,6.5,4.7,5.6,107.388,36.444
P004981,Gansu,68-69,general map,complete province,Yangshao,6.5,4.7,5.6,107.404,36.388
P004982,Gansu,68-69,general map,complete province,Yangshao,6.5,4.7,5.6,107.468,36.487
P004983,Gansu,68-69,general map,complete province,Yangshao,6.5,4.7,5.6,107.524,36.458
P004984,Gansu,68-69,general map,complete province,Yangshao,6.5,4.7,5.6,107.486,36.452
P004985,Gansu,68-69,general map,complete province,Yangshao,6.5,4.7,5.6,107.445,36.439
P004986,Gansu,68-69,general map,complete province,Yangshao,6.5,4.7,5.6,107.451,36.417
P004987,Gansu,68-69,general map,complete province,Yangshao,6.5,4.7,5.6,107.482,36.391
P004988,Gansu,68-69,general map,complete province,Yangshao,6.5,4.7,5.6,107.498,36.404
P004989,Gansu,68-69,general map,complete province,Yangshao,6.5,4.7,5.6,107.504,36.356
P004990,Gansu,68-69,general map,complete province,Yangshao,6.5,4.7,5.6,107.548,36.333
P004991,Gansu,68-69,general map,complete province,Yangshao,6.5,4.7,5.6,107.605,36.316
P004992,Gansu,68-69,general map,complete province,Yangshao,6.5,4.7,5.6,107.777,36.238
P004993,Gansu,68-69,general map,complete province,Yangshao,6.5,4.7,5.6,107.812,36.292
P004994,Gansu,68-69,general map,complete province,Yangshao,6.5,4.7,5.6,107.771,36.301
P004995,Gansu,68-69,general map,complete province,Yangshao,6.5,4.7,5.6,107.719,36.29
P004996,Gansu,68-69,general map,complete province,Yangshao,6.5,4.7,5.6,107.954,36.421
P004997,Gansu,68-69,general map,complete province,Yangshao,6.5,4.7,5.6,107.799,36.431
P004998,Gansu,68-69,general map,complete province,Yangshao,6.5,4.7,5.6,107.834,36.389
P004999,Gansu,68-69,general map,complete province,Yangshao,6.5,4.7,5.6,107.828,36.371
P005000,Gansu,68-69,general map,complete province,Yangshao,6.5,4.7,5.6,107.897,36.379
P005001,Gansu,68-69,general map,complete province,Yangshao,6.5,4.7,5.6,107.877,36.337
P005002,Gansu,68-69,general map,complete province,Yangshao,6.5,4.7,5.6,108.038,36.266
P005003,Gansu,68-69,general map,complete province,Yangshao,6.5,4.7,5.6,106.982,36.022
P005004,Gansu,68-69,general map,complete province,Yangshao,6.5,4.7,5.6,106.985,35.977
P005005,Gansu,68-69,general map,complete province,Yangshao,6.5,4.7,5.6,107.011,35.947
P005006,Gansu,68-69,general map,complete province,Yangshao,6.5,4.7,5.6,107.034,35.98
P005007,Gansu,68-69,general map,complete province,Yangshao,6.5,4.7,5.6,107.015,35.967
P005008,Gansu,68-69,general map,complete province,Yangshao,6.5,4.7,5.6,107.034,35.955
P005009,Gansu,68-69,general map,complete province,Yangshao,6.5,4.7,5.6,107.345,35.962
P005010,Gansu,68-69,general map,complete province,Yangshao,6.5,4.7,5.6,107.365,35.945
P005011,Gansu,68-69,general map,complete province,Yangshao,6.5,4.7,5.6,107.249,35.932
P005012,Gansu,68-69,general map,complete province,Yangshao,6.5,4.7,5.6,107.269,35.91
P005013,Gansu,68-69,general map,complete province,Yangshao,6.5,4.7,5.6,107.243,35.853
P005014,Gansu,68-69,general map,complete province,Yangshao,6.5,4.7,5.6,107.247,35.823
P005015,Gansu,68-69,general map,complete province,Yangshao,6.5,4.7,5.6,107.386,35.891
P005016,Gansu,68-69,general map,complete province,Yangshao,6.5,4.7,5.6,107.375,35.908
P005017,Gansu,68-69,general map,complete province,Yangshao,6.5,4.7,5.6,107.413,35.88
P005018,Gansu,68-69,general map,complete province,Yangshao,6.5,4.7,5.6,107.371,35.874
P005019,Gansu,68-69,general map,complete province,Yangshao,6.5,4.7,5.6,107.337,35.859
P005020,Gansu,68-69,general map,complete province,Yangshao,6.5,4.7,5.6,107.323,35.835
P005021,Gansu,68-69,general map,complete province,Yangshao,6.5,4.7,5.6,107.317,35.878
P005022,Gansu,68-69,general map,complete province,Yangshao,6.5,4.7,5.6,107.303,35.842
P005023,Gansu,68-69,general map,complete province,Yangshao,6.5,4.7,5.6,107.383,35.842
P005024,Gansu,68-69,general map,complete province,Yangshao,6.5,4.7,5.6,107.425,35.809
P005025,Gansu,68-69,general map,complete province,Yangshao,6.5,4.7,5.6,107.455,35.831
P005026,Gansu,68-69,general map,complete province,Yangshao,6.5,4.7,5.6,107.752,35.747
P005027,Gansu,68-69,general map,complete province,Yangshao,6.5,4.7,5.6,107.921,36.138
P005028,Gansu,68-69,general map,complete province,Yangshao,6.5,4.7,5.6,108.587,36.315
P005029,Gansu,68-69,general map,complete province,Yangshao,6.5,4.7,5.6,108.674,36.131
P005030,Gansu,68-69,general map,complete province,Yangshao,6.5,4.7,5.6,108.666,36.095
P005031,Gansu,68-69,general map,complete province,Yangshao,6.5,4.7,5.6,108.621,36.14
P005032,Gansu,68-69,general map,complete province,Yangshao,6.5,4.7,5.6,108.581,36.177
P005033,Gansu,68-69,general map,complete province,Yangshao,6.5,4.7,5.6,108.582,36.231
P005034,Gansu,68-69,general map,complete province,Yangshao,6.5,4.7,5.6,108.517,36.234
P005035,Gansu,68-69,general map,complete province,Yangshao,6.5,4.7,5.6,108.512,36.199
P005036,Gansu,68-69,general map,complete province,Yangshao,6.5,4.7,5.6,108.493,36.21
P005037,Gansu,68-69,general map,complete province,Yangshao,6.5,4.7,5.6,108.462,36.194
P005038,Gansu,68-69,general map,complete province,Yangshao,6.5,4.7,5.6,108.54,36.183
P005039,Gansu,68-69,general map,complete province,Yangshao,6.5,4.7,5.6,108.487,36.049
P005040,Gansu,68-69,general map,complete province,Yangshao,6.5,4.7,5.6,108.414,36.111
P005041,Gansu,68-69,general map,complete province,Yangshao,6.5,4.7,5.6,108.202,36.181
P005042,Gansu,68-69,general map,complete province,Yangshao,6.5,4.7,5.6,108.139,36.121
P005043,Gansu,68-69,general map,complete province,Yangshao,6.5,4.7,5.6,108.136,36.084
P005044,Gansu,68-69,general map,complete province,Yangshao,6.5,4.7,5.6,108.123,36.058
P005045,Gansu,68-69,general map,complete province,Yangshao,6.5,4.7,5.6,108.066,35.999
