Site,Volume,Page(s),Type,Area,Cult age,Age max [ka],Age dated min [ka],Age [ka BP],Longitude,Latitude
P029003,Qinghai,15-16,general map,complete province,Machang,4.2,4,4.1,102.494,36.514
P029004,Qinghai,15-16,general map,complete province,Machang,4.2,4,4.1,102.5,36.497
P029005,Qinghai,15-16,general map,complete province,Machang,4.2,4,4.1,102.501,36.486
P029006,Qinghai,15-16,general map,complete province,Machang,4.2,4,4.1,102.484,36.49
P029007,Qinghai,15-16,general map,complete province,Machang,4.2,4,4.1,102.467,36.494
P029008,Qinghai,15-16,general map,complete province,Machang,4.2,4,4.1,102.463,36.465
P029009,Qinghai,15-16,general map,complete province,Machang,4.2,4,4.1,102.44,36.455
P029010,Qinghai,15-16,general map,complete province,Machang,4.2,4,4.1,102.431,36.442
P029011,Qinghai,15-16,general map,complete province,Machang,4.2,4,4.1,102.43,36.428
P029012,Qinghai,15-16,general map,complete province,Machang,4.2,4,4.1,102.486,36.442
P029013,Qinghai,15-16,general map,complete province,Machang,4.2,4,4.1,102.485,36.427
P029014,Qinghai,15-16,general map,complete province,Machang,4.2,4,4.1,102.484,36.415
P029015,Qinghai,15-16,general map,complete province,Machang,4.2,4,4.1,102.467,36.419
P029016,Qinghai,15-16,general map,complete province,Machang,4.2,4,4.1,102.455,36.392
P029017,Qinghai,15-16,general map,complete province,Machang,4.2,4,4.1,102.368,36.308
P029018,Qinghai,15-16,general map,complete province,Machang,4.2,4,4.1,102.382,36.308
P029019,Qinghai,15-16,general map,complete province,Machang,4.2,4,4.1,102.396,36.313
P029020,Qinghai,15-16,general map,complete province,Machang,4.2,4,4.1,102.406,36.327
P029021,Qinghai,15-16,general map,complete province,Machang,4.2,4,4.1,102.436,36.336
P029022,Qinghai,15-16,general map,complete province,Machang,4.2,4,4.1,102.43,36.352
P029023,Qinghai,15-16,general map,complete province,Machang,4.2,4,4.1,102.437,36.365
P029024,Qinghai,15-16,general map,complete province,Machang,4.2,4,4.1,102.448,36.377
P029025,Qinghai,15-16,general map,complete province,Machang,4.2,4,4.1,102.459,36.372
P029026,Qinghai,15-16,general map,complete province,Machang,4.2,4,4.1,102.488,36.355
P029027,Qinghai,15-16,general map,complete province,Machang,4.2,4,4.1,102.513,36.407
P029028,Qinghai,15-16,general map,complete province,Machang,4.2,4,4.1,102.512,36.36
P029029,Qinghai,15-16,general map,complete province,Machang,4.2,4,4.1,102.506,36.348
P029030,Qinghai,15-16,general map,complete province,Machang,4.2,4,4.1,102.507,36.332
P029031,Qinghai,15-16,general map,complete province,Machang,4.2,4,4.1,102.551,36.425
P029032,Qinghai,15-16,general map,complete province,Machang,4.2,4,4.1,102.554,36.41
P029033,Qinghai,15-16,general map,complete province,Machang,4.2,4,4.1,102.572,36.331
P029034,Qinghai,15-16,general map,complete province,Machang,4.2,4,4.1,102.526,36.505
P029035,Qinghai,15-16,general map,complete province,Machang,4.2,4,4.1,102.532,36.491
P029036,Qinghai,15-16,general map,complete province,Machang,4.2,4,4.1,102.536,36.482
P029037,Qinghai,15-16,general map,complete province,Machang,4.2,4,4.1,102.545,36.48
P029038,Qinghai,15-16,general map,complete province,Machang,4.2,4,4.1,102.547,36.49
P029039,Qinghai,15-16,general map,complete province,Machang,4.2,4,4.1,102.56,36.49
P029040,Qinghai,15-16,general map,complete province,Machang,4.2,4,4.1,102.556,36.479
P029041,Qinghai,15-16,general map,complete province,Machang,4.2,4,4.1,102.565,36.477
